Model Name,Dataset,Abstract count,Count entities extracted,Count annotations,Count common elements,Recall,Precision,F1 Score,Fuzzy Match Applied?,Character Difference,Data section,ID
en_core_sci_lg,CHEMDNER,1000,63108,8034,4268,0.531242221,0.067630094,0.119985381,no,0,development.abstracts,en_core_sci_lg_development.abstracts_1000
en_core_sci_lg,CHEMDNER,1000,63108,8034,6600,0.821508588,0.10458262,0.185544404,yes,10,development.abstracts,en_core_sci_lg_development.abstracts_1000
en_core_sci_lg,CHEMDNER,1000,61209,8252,4276,0.518177412,0.069859008,0.123119448,no,0,evaluation.abstracts,en_core_sci_lg_evaluation.abstracts_1000
en_core_sci_lg,CHEMDNER,1000,61209,8252,6830,0.827678139,0.111584898,0.196657117,yes,10,evaluation.abstracts,en_core_sci_lg_evaluation.abstracts_1000
en_core_sci_lg,CHEMDNER,1000,63638,8502,4469,0.525641026,0.070225337,0.123897976,no,0,training.abstracts,en_core_sci_lg_training.abstracts_1000
en_core_sci_lg,CHEMDNER,1000,63638,8502,6945,0.81686662,0.109132908,0.192542279,yes,10,training.abstracts,en_core_sci_lg_training.abstracts_1000
en_core_sci_md,CHEMDNER,1000,62395,8034,4244,0.528254917,0.068018271,0.120518536,no,0,development.abstracts,en_core_sci_md_development.abstracts_1000
en_core_sci_md,CHEMDNER,1000,62395,8034,6545,0.814662684,0.104896226,0.185860938,yes,10,development.abstracts,en_core_sci_md_development.abstracts_1000
en_core_sci_md,CHEMDNER,1000,60401,8252,4297,0.520722249,0.071141206,0.125180254,no,0,evaluation.abstracts,en_core_sci_md_evaluation.abstracts_1000
en_core_sci_md,CHEMDNER,1000,60401,8252,6828,0.827435773,0.113044486,0.198913376,yes,10,evaluation.abstracts,en_core_sci_md_evaluation.abstracts_1000
en_core_sci_md,CHEMDNER,1000,62990,8502,4521,0.531757234,0.071773297,0.12647569,no,0,training.abstracts,en_core_sci_md_training.abstracts_1000
